,Países: 
0,Costa Rica
1,Finland
2,China
3,Pakistan
4,Nicaragua
5,North Macedonia
6,Bahrain
7,South Africa
8,Sweden
9,Lithuania
10,Belgium
11,Vietnam
12,Liberia
13,Luxembourg
14,United States
15,Chile
16,France
17,Russia
18,Norway
19,Japan
20,Australia
21,Canada
22,Indonesia
23,Singapore
24,Spain
25,United Kingdom
26,Poland
27,Netherlands
28,Italy
29,Hong Kong
30,India
31,Bulgaria
32,Tunisia
33,Taiwan
34,Saudi Arabia
35,Romania
36,Brazil
37,South Korea
38,Austria
39,Germany
40,Switzerland
41,Mexico
