,Duração de sessão: 
0,127.79501557350159
1,0.03395891189575195
2,0.0038940906524658203
3,179.61391496658325
4,0.1009824275970459
5,179.08026242256165
6,179.6203408241272
7,48.16108822822571
8,0.11484169960021973
9,0.003629922866821289
10,179.5310571193695
11,61.863266706466675
12,127.78247284889221
13,179.9823615550995
14,0.025251150131225586
15,0.02584218978881836
16,0.0034940242767333984
17,0.0037987232208251953
18,128.1539933681488
19,127.70793843269348
20,179.47215843200684
21,127.7564594745636
22,179.5134711265564
23,0.12607502937316895
24,15.023651123046875
25,127.68035340309143
26,0.10000443458557129
27,0.09975218772888184
28,0.14920997619628906
29,0.1331799030303955
30,0.10019612312316895
31,0.09993314743041992
32,0.10125184059143066
33,0.09914636611938477
34,0.13528728485107422
35,0.14849615097045898
36,0.003585338592529297
37,0.003490924835205078
38,127.83393597602844
39,129.49838662147522
40,0.11467456817626953
41,0.06668639183044434
42,0.003584146499633789
43,0.0034821033477783203
44,178.92470717430115
45,127.80802941322327
46,132.79029035568237
47,179.548819065094
48,0.1113729476928711
49,0.10843658447265625
50,0.10631179809570312
51,0.15594768524169922
52,0.1063234806060791
53,0.1109471321105957
54,0.16951799392700195
55,0.10725164413452148
56,127.83027291297913
57,0.24693703651428223
58,0.2406458854675293
59,0.0037107467651367188
60,0.0036220550537109375
61,61.78596043586731
62,128.75574350357056
63,128.374009847641
64,179.60646724700928
65,178.2562882900238
66,179.65385961532593
67,129.36558842658997
68,127.72460460662842
69,127.7579026222229
70,0.17256641387939453
71,137.84486842155457
72,45.38549017906189
73,179.53433227539062
74,127.67968726158142
75,179.4870948791504
76,15.022824048995972
77,179.8437213897705
78,56.194162368774414
79,46.11994409561157
80,127.80673956871033
81,0.0213620662689209
82,0.02153491973876953
83,0.02095627784729004
84,0.03531646728515625
85,0.02137136459350586
86,0.02136707305908203
87,0.025223731994628906
88,0.021489858627319336
89,130.0144658088684
90,130.48741149902344
91,127.56670641899109
92,128.20913195610046
93,128.18868923187256
94,127.67171001434326
95,0.08992552757263184
96,0.08966326713562012
97,15.023006677627563
98,137.47673916816711
99,179.56091046333313
100,178.85533952713013
101,179.56055164337158
102,127.78503131866455
103,2.525843620300293
104,127.96078753471375
105,129.1170253753662
106,0.17012357711791992
107,0.17604875564575195
108,0.0037183761596679688
109,0.003623485565185547
110,0.20623207092285156
111,0.2209937572479248
112,0.0036878585815429688
113,0.003618955612182617
114,0.106658935546875
115,0.10696887969970703
116,0.003673553466796875
117,0.0038743019104003906
118,127.8003945350647
119,0.9237303733825684
120,15.023022413253784
121,129.3386833667755
122,131.16123270988464
123,0.24017763137817383
124,0.004528522491455078
125,0.18127059936523438
126,0.17968082427978516
127,0.003927469253540039
128,0.003905057907104492
129,60.74537229537964
130,0.24187397956848145
131,128.12725687026978
132,127.86400771141052
133,179.752543926239
134,0.25381040573120117
135,0.21827292442321777
136,128.07316374778748
137,0.15046167373657227
138,127.75081205368042
139,0.17603540420532227
140,0.17450380325317383
141,0.00407719612121582
142,0.0037984848022460938
143,0.2669689655303955
144,128.02129340171814
145,127.66174912452698
146,179.66641879081726
147,127.48026776313782
148,127.7534167766571
149,179.4312126636505
150,0.21493983268737793
151,179.67995190620422
152,179.64382433891296
153,0.28002071380615234
154,0.15823721885681152
155,0.004150390625
156,0.7366752624511719
157,0.02530670166015625
158,0.028099536895751953
159,129.873863697052
160,0.17964577674865723
161,0.16466832160949707
162,0.11272335052490234
163,0.12105178833007812
164,0.004210710525512695
165,0.0036635398864746094
166,43.10445809364319
167,127.70694828033447
168,0.1790602207183838
169,0.18952250480651855
170,0.1863563060760498
171,0.004204511642456055
172,0.0038170814514160156
173,127.57482481002808
174,0.5128226280212402
175,57.68901443481445
176,179.71800661087036
177,57.439921617507935
178,0.37218165397644043
179,129.37837433815002
180,178.4076144695282
181,0.23717617988586426
182,0.23815178871154785
183,0.0042231082916259766
184,0.003671407699584961
185,0.2837691307067871
186,0.08361697196960449
187,0.09430599212646484
188,0.21311163902282715
189,0.21381688117980957
190,0.3113105297088623
191,0.3162112236022949
192,0.003978729248046875
193,0.0037293434143066406
194,0.16977739334106445
195,0.1714155673980713
196,0.1695253849029541
197,0.708449125289917
198,0.16963696479797363
199,0.16927838325500488
200,0.1695699691772461
201,0.16732096672058105
202,129.26542401313782
203,127.56130719184875
204,0.1573171615600586
205,0.18494200706481934
206,0.18468689918518066
207,0.1643531322479248
208,0.1609184741973877
209,0.1918938159942627
210,0.16589832305908203
211,0.16393041610717773
212,0.16125082969665527
213,0.164719820022583
214,0.16201114654541016
215,0.26285386085510254
216,0.33284568786621094
217,0.003999471664428711
218,0.004153013229370117
